Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
150830 Viseu;1;3;3;0;8;7;8;6;6;4;5;3;7;2;3;1;0;1
150835 Vitória do Xingu;1;10;10;8;6;5;5;9;6;7;6;5;1;0;0;0;2;2
150840 Xinguara;9;28;56;41;35;33;51;78;91;59;37;30;38;15;10;12;3;6
160005 Serra do Navio;1;13;15;13;7;9;7;13;11;3;4;3;1;0;1;0;1;0
160010 Amapá;0;2;8;6;9;5;7;11;12;15;8;5;8;7;5;4;5;4
160015 Pedra Branca do Amapari;1;14;13;20;12;14;12;17;13;11;4;3;4;1;0;0;0;0
160020 Calçoene;0;4;3;2;2;0;1;4;0;5;1;2;0;3;1;1;1;0
160021 Cutias;0;1;2;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0
160023 Ferreira Gomes;2;3;9;3;4;1;8;7;6;5;6;0;3;2;4;0;0;1
160025 Itaubal;0;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0
160027 Laranjal do Jari;2;22;63;51;58;47;33;61;77;27;45;23;22;7;2;1;1;4
160030 Macapá;235;1410;2165;1956;1780;1727;2147;2291;2596;2631;2115;1834;1583;1272;1067;878;632;792
160040 Mazagão;2;6;13;8;4;9;7;10;1;6;7;6;1;3;1;0;1;3
160050 Oiapoque;0;5;24;12;11;11;16;23;16;20;18;8;5;2;3;6;1;1
160053 Porto Grande;2;28;34;43;39;32;22;34;41;33;35;13;14;6;6;3;0;0
160055 Pracuúba;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
160060 Santana;32;158;296;241;234;208;289;308;336;309;244;179;103;85;78;65;45;44
160070 Tartarugalzinho;0;6;7;10;6;10;7;9;7;9;4;8;3;4;2;0;1;0
160080 Vitória do Jari;0;13;31;28;26;24;19;17;27;28;16;7;3;0;1;1;0;0
170025 Abreulândia;0;0;2;1;3;2;1;1;3;4;4;0;2;0;0;0;0;0
170030 Aguiarnópolis;0;1;2;3;1;3;2;1;3;7;3;4;0;0;3;0;0;1
170035 Aliança do Tocantins;2;4;8;3;6;5;13;9;8;5;8;10;4;3;2;0;3;0
170040 Almas;2;21;15;6;8;16;19;8;12;13;9;4;0;2;0;0;2;0
170070 Alvorada;7;12;17;14;24;11;23;28;40;34;30;11;14;11;8;5;3;3
170100 Ananás;2;4;5;6;6;3;4;7;10;7;7;3;1;3;2;0;0;0
170105 Angico;0;2;1;2;0;1;2;3;2;1;0;5;0;0;0;1;0;0
170110 Aparecida do Rio Negro;1;0;0;1;2;2;1;3;2;4;1;5;1;1;1;0;0;1
170130 Aragominas;0;2;1;1;0;1;2;3;1;2;0;5;2;0;1;1;0;0
170190 Araguacema;0;1;4;3;2;2;3;4;2;3;0;3;1;4;0;1;2;3
170200 Araguaçu;4;14;18;17;16;15;22;16;21;26;14;10;10;4;5;7;1;2
170210 Araguaína;138;539;824;668;588;663;1021;1166;1184;955;672;522;450;277;216;150;111;157
170215 Araguanã;1;2;0;2;0;0;1;1;5;0;1;1;3;0;0;1;0;0
170220 Araguatins;7;34;68;57;54;42;52;57;91;68;70;75;48;32;9;12;5;8
170230 Arapoema;0;3;4;9;3;8;8;9;7;11;5;8;4;2;2;1;1;0
170240 Arraias;4;17;26;35;22;12;26;20;25;36;21;24;17;19;15;11;6;10
170255 Augustinópolis;1;19;25;22;20;18;31;32;27;33;16;11;8;4;7;3;0;1
170270 Aurora do Tocantins;0;1;0;1;0;2;2;3;2;4;4;1;5;1;3;0;0;1
170290 Axixá do Tocantins;2;8;13;5;8;4;6;16;5;15;15;11;2;5;2;1;0;3
170300 Babaçulândia;0;2;2;1;3;2;1;4;4;6;1;2;1;0;1;2;1;0
170305 Bandeirantes do Tocantins;0;17;20;17;20;20;22;20;17;10;10;5;2;1;0;0;0;0
170307 Barra do Ouro;0;2;1;0;0;1;2;0;0;1;1;1;0;0;0;1;0;0
170310 Barrolândia;0;2;0;3;1;2;3;5;5;3;3;2;2;0;0;1;2;0
170320 Bernardo Sayão;1;3;5;2;2;0;6;3;5;1;1;1;1;1;0;0;0;0
170330 Bom Jesus do Tocantins;1;23;18;22;19;10;23;25;23;13;6;3;0;1;0;0;1;2
170360 Brasilândia do Tocantins;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0
170370 Brejinho de Nazaré;0;1;1;2;3;1;1;0;2;3;3;2;1;1;1;2;0;1
170380 Buriti do Tocantins;0;5;6;4;1;1;5;5;3;5;4;1;1;0;1;1;0;1
170382 Cachoeirinha;3;10;3;2;4;5;3;11;11;12;5;9;2;3;2;1;1;0
170384 Campos Lindos;4;6;10;12;5;8;10;7;8;3;2;2;1;1;0;1;0;0
170386 Cariri do Tocantins;1;2;5;5;4;4;8;5;5;6;2;5;4;1;0;1;2;0
170388 Carmolândia;0;2;0;0;2;3;2;2;4;3;1;2;0;0;0;1;0;1
170389 Carrasco Bonito;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
170390 Caseara;1;3;4;3;2;3;6;8;3;9;2;1;1;1;1;0;0;0
170410 Centenário;0;1;1;1;0;1;1;2;2;3;2;3;0;0;0;0;0;0
170510 Chapada da Natividade;0;0;0;1;0;1;2;1;0;1;1;0;0;0;0;0;0;0
170550 Colinas do Tocantins;11;72;85;66;53;71;85;108;122;100;61;31;32;35;15;11;7;12
170555 Combinado;0;4;1;1;3;4;2;4;3;7;6;2;3;3;0;0;1;0
170560 Conceição do Tocantins;0;1;3;1;3;3;1;0;1;5;0;1;0;0;0;0;0;0
170600 Couto Magalhães;1;2;8;0;0;1;2;2;1;1;6;4;0;0;0;0;2;0
170610 Cristalândia;1;4;6;9;8;1;4;11;13;10;6;6;6;5;1;0;1;5
170625 Crixás do Tocantins;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
170650 Darcinópolis;2;2;2;5;3;1;5;5;2;4;3;3;0;0;2;0;0;0
170700 Dianópolis;12;35;36;44;38;34;60;69;54;54;38;22;12;18;5;6;4;10
170710 Divinópolis do Tocantins;1;8;1;5;4;6;8;5;10;8;6;5;1;2;0;2;0;0
170720 Dois Irmãos do Tocantins;0;2;2;1;1;5;2;3;4;2;3;1;1;0;0;2;0;2
170730 Dueré;0;2;0;1;1;3;1;2;2;4;2;3;2;2;0;1;0;0
170740 Esperantina;1;0;3;1;2;1;2;2;6;1;1;0;1;0;0;0;0;0
170755 Fátima;0;3;2;3;0;1;1;4;4;1;1;1;0;1;1;1;0;1
170765 Figueirópolis;2;5;11;9;11;6;18;7;15;14;9;8;5;2;1;0;4;2
170770 Filadélfia;0;3;1;2;5;4;4;3;3;4;5;1;0;0;3;1;0;4
170820 Formoso do Araguaia;3;29;34;36;21;27;39;46;41;34;32;30;18;9;4;6;3;5
170825 Fortaleza do Tabocão;0;1;0;4;2;1;1;1;5;2;0;3;0;0;0;0;0;0
170830 Goianorte;0;1;2;2;0;4;1;6;3;1;0;2;2;0;0;0;0;0
170900 Goiatins;0;2;10;2;4;2;5;10;9;3;4;2;0;1;1;2;0;0
170930 Guaraí;12;58;72;64;50;46;88;91;99;59;51;47;32;18;14;10;12;7
170950 Gurupi;62;282;411;315;284;339;430;532;574;520;405;317;247;202;151;128;93;109
170980 Ipueiras;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
171050 Itacajá;0;1;2;5;3;3;4;2;5;5;2;3;2;0;1;3;1;0
171070 Itaguatins;0;2;1;0;1;0;3;4;1;5;4;4;3;2;1;0;0;0
171090 Itapiratins;0;2;2;0;3;1;2;0;3;0;3;0;0;2;1;1;0;0
171110 Itaporã do Tocantins;0;0;1;0;0;0;0;0;0;3;0;0;1;0;2;0;0;0
171150 Jaú do Tocantins;1;1;1;2;3;0;3;2;2;3;1;2;1;0;0;0;0;0
171180 Juarina;0;0;0;1;1;0;0;1;1;3;0;0;2;0;0;0;0;0
171190 Lagoa da Confusão;4;17;12;13;15;16;21;25;19;24;16;4;7;2;1;1;2;1
171195 Lagoa do Tocantins;0;3;1;2;0;0;2;0;4;0;1;0;0;0;0;0;0;0
171200 Lajeado;1;1;2;4;3;3;3;4;9;8;5;7;2;4;3;1;2;1
171215 Lavandeira;0;2;0;0;2;0;1;2;1;1;1;1;0;0;0;0;0;0
171240 Lizarda;0;1;1;0;2;0;0;2;2;1;1;0;0;1;0;0;0;0
171245 Luzinópolis;0;0;5;2;1;2;2;6;0;3;0;0;0;1;0;0;2;0
171250 Marianópolis do Tocantins;0;3;5;0;2;5;12;5;8;5;3;2;2;0;0;0;0;0
171270 Mateiros;0;1;2;3;0;1;0;6;3;0;1;0;1;2;0;0;0;0
171280 Maurilândia do Tocantins;0;1;0;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0
171320 Miracema do Tocantins;5;34;32;39;28;23;29;41;47;51;26;25;16;11;15;14;7;17
171330 Miranorte;2;9;8;13;12;14;16;12;19;20;12;16;4;8;11;3;5;6
171360 Monte do Carmo;1;6;2;0;1;2;5;2;6;4;7;2;1;3;0;1;0;0
171370 Monte Santo do Tocantins;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
171380 Palmeiras do Tocantins;0;1;2;3;2;1;4;1;2;0;2;1;2;0;0;0;0;0
171395 Muricilândia;0;1;1;0;0;3;4;1;0;3;0;1;0;0;0;0;0;0
171420 Natividade;2;15;23;15;20;17;29;25;33;17;12;8;8;6;7;2;4;4
171430 Nazaré;0;1;2;1;0;2;3;1;2;3;0;0;1;1;1;0;0;1
171488 Nova Olinda;0;4;8;4;11;6;8;7;8;7;2;5;1;0;3;0;0;2
171500 Nova Rosalândia;1;1;4;2;0;0;2;5;3;5;5;1;2;0;1;0;0;0
171510 Novo Acordo;0;0;5;2;1;2;1;2;3;4;3;1;2;0;1;0;1;2
171515 Novo Alegre;0;0;1;4;6;3;2;4;3;3;4;3;1;1;1;2;0;1
171525 Novo Jardim;0;0;1;3;3;2;1;0;0;3;1;0;1;0;0;0;0;0
171550 Oliveira de Fátima;0;0;0;1;0;0;1;3;1;1;1;0;1;0;0;1;0;0
171570 Palmeirante;1;3;3;3;1;4;4;7;3;4;1;0;0;0;0;0;0;0
171575 Palmeirópolis;3;8;14;13;11;9;17;10;20;11;15;8;7;8;3;4;3;0
171610 Paraíso do Tocantins;15;102;138;115;103;102;119;171;186;168;127;83;75;62;47;29;24;35
171620 Paranã;1;1;4;5;6;2;4;7;5;8;3;4;4;5;3;3;3;1
171630 Pau D'Arco;0;2;2;1;4;1;2;2;1;1;2;0;1;0;0;0;0;0
171650 Pedro Afonso;25;86;121;85;66;83;96;108;118;73;55;40;20;15;7;7;4;6
171660 Peixe;3;4;16;10;7;3;9;12;15;11;4;5;0;3;5;1;3;3
171665 Pequizeiro;0;3;8;6;2;6;5;6;2;4;2;1;0;1;0;0;1;0
171670 Colméia;1;7;5;6;7;7;16;11;9;8;5;2;4;3;0;4;0;0
171700 Pindorama do Tocantins;0;0;3;3;0;0;1;3;2;1;0;1;0;0;0;0;0;0
171720 Piraquê;1;0;5;6;2;1;2;3;2;1;2;1;2;1;0;0;0;0
171750 Pium;0;5;3;1;2;1;5;5;5;2;2;1;0;1;3;2;1;1
171780 Ponte Alta do Bom Jesus;0;1;4;5;4;1;2;6;8;2;3;1;4;1;1;1;0;1
171790 Ponte Alta do Tocantins;0;0;5;3;1;2;1;7;5;6;3;2;4;0;0;0;1;0
171800 Porto Alegre do Tocantins;1;3;6;2;3;1;6;3;4;3;1;3;2;3;0;0;0;0
171820 Porto Nacional;30;183;213;187;150;181;290;334;262;226;142;98;63;41;29;35;18;47
171830 Praia Norte;1;0;3;1;3;0;2;3;4;1;0;1;0;0;0;0;0;0
171840 Presidente Kennedy;0;3;0;4;1;3;2;3;3;2;0;1;1;1;1;0;1;3
171845 Pugmil;0;1;2;0;0;0;5;2;0;1;0;2;0;0;0;0;0;0
171850 Recursolândia;0;1;3;2;4;1;1;2;1;1;1;1;0;1;0;1;1;0
171855 Riachinho;2;5;10;9;4;4;9;6;3;3;2;2;2;1;0;0;0;0
171865 Rio da Conceição;1;1;0;3;0;2;1;0;0;1;1;1;0;0;1;0;0;0
171870 Rio dos Bois;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
171875 Rio Sono;0;0;5;1;2;0;0;1;6;2;1;2;0;1;1;1;0;0
171880 Sampaio;0;2;1;0;3;1;2;0;0;2;2;0;1;0;1;0;1;0
171884 Sandolândia;2;6;5;1;0;6;5;5;4;4;2;3;0;1;1;1;0;1
171886 Santa Fé do Araguaia;2;2;5;4;4;3;7;9;8;3;3;5;2;2;0;0;0;0
171888 Santa Maria do Tocantins;0;4;1;3;2;0;1;1;3;1;0;0;0;0;0;0;0;0
171889 Santa Rita do Tocantins;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
171890 Santa Rosa do Tocantins;0;5;4;2;1;6;5;9;8;2;1;1;0;0;0;0;0;0
171900 Santa Tereza do Tocantins;0;2;3;1;1;0;2;5;3;3;2;0;0;0;0;0;0;0
172000 Santa Terezinha do Tocantins;0;2;3;7;1;0;3;3;3;0;0;0;1;0;0;0;0;0
172010 São Bento do Tocantins;0;2;4;3;0;0;2;2;2;1;0;0;0;1;1;0;0;0
172015 São Félix do Tocantins;0;0;1;2;1;0;0;1;0;1;0;0;0;0;0;0;0;0
172020 São Miguel do Tocantins;2;10;19;7;8;6;8;14;14;12;3;4;1;0;1;0;0;0
172025 São Salvador do Tocantins;1;3;3;2;1;0;1;2;2;2;0;1;0;0;1;0;0;0
172030 São Sebastião do Tocantins;0;2;0;0;2;1;3;2;3;2;2;1;1;0;0;0;0;3
172049 São Valério da Natividade;3;4;2;4;3;3;0;2;2;5;4;0;0;0;1;2;0;2
172065 Silvanópolis;3;6;3;6;4;1;4;7;7;3;4;0;2;0;1;1;0;1
172080 Sítio Novo do Tocantins;1;18;16;16;9;10;11;16;13;14;9;6;2;0;2;1;0;2
172085 Sucupira;0;1;2;3;0;2;2;0;1;1;0;1;0;0;0;0;0;0
172090 Taguatinga;3;23;29;22;23;29;37;35;41;47;34;31;26;26;21;16;11;20
172093 Taipas do Tocantins;0;0;1;1;0;2;2;1;0;0;0;0;3;0;0;0;0;1
172097 Talismã;1;3;4;3;4;2;3;6;3;3;4;4;1;0;1;0;0;0
172100 Palmas;389;1692;2200;2047;1662;1876;2708;3336;3471;3294;2536;1721;1343;1017;676;457;285;351
172110 Tocantínia;0;2;0;4;2;0;2;3;4;1;1;4;2;1;2;3;0;3
172120 Tocantinópolis;2;26;32;33;24;16;19;42;40;38;39;20;22;17;10;12;6;21
172125 Tupirama;3;14;10;12;9;19;3;15;12;11;3;0;0;0;0;0;0;1
172130 Tupiratins;2;1;3;1;0;0;3;0;0;1;0;1;0;0;0;0;0;0
172208 Wanderlândia;0;3;3;4;5;4;7;8;5;10;6;4;1;2;1;0;0;2
172210 Xambioá;13;34;51;45;33;32;40;55;62;29;13;13;9;4;2;1;1;3
210005 Açailândia;112;584;697;539;412;448;734;835;796;528;353;197;112;73;38;16;11;15
210010 Afonso Cunha;1;3;1;8;5;1;3;5;3;8;6;5;0;2;1;0;0;0
210015 Água Doce do Maranhão;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0
210020 Alcântara;1;3;4;1;3;1;3;1;4;2;1;0;0;3;1;0;1;0
210030 Aldeias Altas;0;19;13;12;19;13;23;28;17;25;38;26;25;8;9;1;0;0
210040 Altamira do Maranhão;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;1;0;1
210043 Alto Alegre do Maranhão;0;3;7;2;1;2;1;5;7;4;2;0;2;1;2;0;0;0
210047 Alto Alegre do Pindaré;2;7;14;14;6;7;8;15;10;5;1;2;2;0;1;0;1;0
210050 Alto Parnaíba;2;15;25;7;7;7;14;13;14;9;8;6;1;1;1;1;1;1
210055 Amapá do Maranhão;0;0;0;0;1;1;2;0;1;0;1;2;1;0;1;0;0;0
210060 Amarante do Maranhão;0;8;18;3;7;5;7;18;11;14;4;5;5;8;2;3;1;3
210070 Anajatuba;1;3;8;4;10;2;2;5;4;4;6;2;1;1;1;5;4;1
210080 Anapurus;0;1;7;4;6;6;5;7;10;9;3;3;0;0;0;0;1;0
210083 Apicum-Açu;0;0;2;1;1;0;0;1;2;2;0;0;0;0;0;0;0;0
210087 Araguanã;0;1;0;0;0;1;1;1;3;0;0;2;1;0;0;0;0;1
210090 Araioses;1;3;9;2;1;3;6;3;8;4;1;0;1;0;0;1;0;1
210095 Arame;0;2;3;1;3;6;4;2;0;3;2;1;2;1;0;0;0;0
210100 Arari;8;15;27;18;20;14;26;34;42;37;20;8;4;6;8;4;4;1
210110 Axixá;0;2;2;4;4;3;4;2;3;2;3;2;0;0;1;0;1;1
210120 Bacabal;23;150;184;149;133;168;185;285;271;234;127;90;82;56;44;35;19;27
210125 Bacabeira;6;24;45;41;19;18;39;31;47;33;15;10;9;5;3;3;0;0
210130 Bacuri;0;2;0;4;1;1;1;2;3;3;3;1;1;0;0;0;0;0
210135 Bacurituba;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
210140 Balsas;55;295;329;253;245;330;439;495;391;358;210;127;93;72;37;25;19;19
210150 Barão de Grajaú;12;30;30;27;19;18;34;38;43;28;21;14;12;8;7;12;3;9
210160 Barra do Corda;4;33;63;41;33;32;42;54;65;53;43;27;23;20;15;9;9;15
210170 Barreirinhas;1;19;18;12;11;14;23;27;23;21;17;15;7;4;2;2;7;4
210173 Belágua;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
210177 Bela Vista do Maranhão;0;1;1;1;0;0;3;0;4;1;0;0;0;0;1;0;0;0
210180 Benedito Leite;0;5;1;5;0;3;12;7;7;2;2;1;0;1;0;0;0;1
210190 Bequimão;1;7;3;1;0;2;0;5;4;1;3;4;4;3;2;6;0;2
210193 Bernardo do Mearim;0;0;1;2;0;0;2;2;0;1;0;0;0;0;0;0;0;0
210197 Boa Vista do Gurupi;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
210200 Bom Jardim;2;7;10;7;10;6;6;8;13;6;7;1;3;3;1;1;0;1
210203 Bom Jesus das Selvas;6;15;32;18;11;7;31;18;21;15;5;5;1;2;0;1;0;0
210207 Bom Lugar;0;2;3;5;3;0;2;2;1;0;2;1;0;0;0;0;0;0
210210 Brejo;1;10;8;14;18;10;15;12;14;24;17;37;26;21;14;11;3;2
210215 Brejo de Areia;0;1;1;1;3;0;1;1;1;1;0;0;0;0;0;1;0;0
210220 Buriti;0;12;24;23;24;13;20;23;29;35;38;41;32;22;13;12;4;2
210230 Buriti Bravo;1;6;10;15;10;4;4;8;11;3;7;6;4;2;0;0;2;1
210232 Buriticupu;4;14;23;23;22;13;26;36;19;28;19;5;7;4;0;4;0;0
210235 Buritirana;1;5;6;3;0;3;5;3;4;5;4;2;0;0;0;0;0;1
210237 Cachoeira Grande;0;2;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0
210240 Cajapió;0;0;1;2;0;0;2;2;3;0;0;1;1;0;0;0;0;0
210250 Cajari;1;0;0;0;1;3;0;0;0;2;2;0;1;0;2;1;1;1
210255 Campestre do Maranhão;3;8;9;12;8;4;19;13;24;8;3;2;5;2;1;0;0;0
210260 Cândido Mendes;1;8;8;10;4;4;12;11;10;5;2;0;0;1;0;0;1;0
210270 Cantanhede;0;0;1;2;2;1;5;1;0;1;3;1;2;1;0;1;0;0
210275 Capinzal do Norte;0;5;6;6;3;2;3;4;6;5;3;3;0;1;0;1;1;0
210280 Carolina;2;8;17;14;16;12;10;19;30;16;17;17;13;13;16;18;10;8
210290 Carutapera;0;1;1;1;7;3;8;10;9;4;4;3;2;2;1;1;0;1
210300 Caxias;83;431;495;402;371;357;502;609;658;581;490;433;367;257;166;99;90;131
210310 Cedral;0;1;1;3;1;2;0;2;0;2;1;0;0;1;0;1;0;1
210312 Central do Maranhão;0;0;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0
210315 Centro do Guilherme;0;1;1;2;0;1;0;1;0;1;2;0;0;1;0;0;0;0
210317 Centro Novo do Maranhão;2;1;2;1;0;1;1;3;0;1;1;0;0;0;0;0;0;0
210320 Chapadinha;7;50;68;66;35;44;59;69;84;76;44;24;25;23;8;8;4;12
210325 Cidelândia;2;24;24;14;21;16;31;20;32;32;17;13;12;3;3;2;1;0
210330 Codó;28;118;140;118;107;104;132;152;187;165;163;125;99;65;36;28;31;22
210340 Coelho Neto;21;149;170;153;133;136;153;175;215;213;178;153;139;122;93;70;29;35
210350 Colinas;1;11;22;13;14;13;21;31;28;21;9;11;11;5;7;2;2;2
210355 Conceição do Lago-Açu;0;0;1;0;2;0;1;1;4;0;0;0;0;0;0;0;0;0
210360 Coroatá;3;14;17;9;10;15;16;19;23;23;13;5;5;6;9;3;11;3
210370 Cururupu;0;8;6;8;4;4;7;12;14;5;4;2;5;3;4;2;2;2
210375 Davinópolis;7;24;35;15;19;25;40;39;39;27;21;6;6;4;4;1;0;2
210380 Dom Pedro;3;13;22;18;15;12;19;23;20;24;11;16;7;4;3;3;0;2
210390 Duque Bacelar;2;10;14;10;11;5;13;12;10;14;11;13;7;10;3;0;1;0
210400 Esperantinópolis;0;6;13;8;3;3;8;10;6;6;4;1;3;3;2;4;0;1
210405 Estreito;8;32;45;38;33;21;32;43;50;38;16;15;7;5;5;7;4;1
210407 Feira Nova do Maranhão;0;2;0;0;2;0;2;3;0;1;1;0;0;0;0;0;0;0
210408 Fernando Falcão;0;1;0;0;0;4;4;1;1;0;0;0;0;0;0;0;0;0
210409 Formosa da Serra Negra;0;2;4;1;1;1;0;4;6;1;3;3;0;1;1;0;1;0
210410 Fortaleza dos Nogueiras;1;12;26;10;17;10;14;19;14;13;6;1;4;1;1;1;0;0
210420 Fortuna;1;1;6;1;1;3;2;4;3;1;1;2;4;4;1;1;0;2
210430 Godofredo Viana;7;78;104;96;105;104;91;92;121;83;44;29;12;4;2;1;0;0
210440 Gonçalves Dias;2;9;6;5;3;3;3;10;12;4;3;2;3;1;0;2;1;0
210450 Governador Archer;0;0;2;3;2;1;1;5;1;4;0;0;1;2;4;0;0;1
210455 Governador Edison Lobão;5;40;43;20;11;23;39;35;35;24;27;18;8;7;0;2;0;0
210460 Governador Eugênio Barros;0;4;1;5;2;1;2;4;2;2;2;3;2;3;0;0;1;0
210462 Governador Luiz Rocha;0;1;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0
210465 Governador Newton Bello;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0
210467 Governador Nunes Freire;0;4;6;6;5;9;9;11;10;3;4;2;1;2;1;1;0;0
210470 Graça Aranha;0;0;2;3;1;1;0;0;2;1;0;1;0;1;0;0;1;1
210480 Grajaú;2;28;30;26;29;28;35;36;58;28;14;11;12;12;9;5;1;6
210490 Guimarães;0;2;3;6;3;0;2;3;3;4;1;3;2;0;0;0;1;0
210500 Humberto de Campos;0;5;3;2;2;4;5;2;3;3;4;4;4;3;0;0;0;2
210510 Icatu;0;3;5;2;4;2;2;4;3;3;5;1;0;1;0;0;1;1
210515 Igarapé do Meio;0;0;1;0;0;0;1;0;2;1;2;0;0;0;0;0;0;0
210520 Igarapé Grande;0;5;6;6;4;2;7;7;7;6;5;2;3;0;2;0;0;0
210530 Imperatriz;372;1890;2346;1878;1560;1961;2465;2816;2743;2302;1573;1145;970;683;464;387;240;290
210535 Itaipava do Grajaú;0;2;0;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0
210540 Itapecuru Mirim;2;29;54;42;33;29;35;58;56;48;34;25;16;10;6;9;10;10
210542 Itinga do Maranhão;4;7;18;6;11;5;19;15;11;6;7;12;4;3;2;3;1;1
210545 Jatobá;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
210547 Jenipapo dos Vieiras;0;2;2;1;2;0;3;3;1;1;0;2;0;0;0;0;0;0
210550 João Lisboa;4;58;91;42;36;43;65;62;65;61;47;40;27;18;3;6;4;0
210560 Joselândia;0;3;2;3;0;5;3;3;2;1;1;0;1;3;0;0;0;0
210565 Junco do Maranhão;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
210570 Lago da Pedra;1;6;12;7;9;7;18;15;21;9;13;7;7;5;5;2;1;2
210580 Lago do Junco;0;2;2;2;1;3;0;4;3;1;1;1;1;0;1;0;0;1
210590 Lago Verde;0;2;3;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0
210592 Lagoa do Mato;0;3;3;2;2;3;2;3;4;3;2;1;3;0;0;0;0;0
210594 Lago dos Rodrigues;0;1;1;0;1;0;2;4;1;1;1;1;1;0;0;0;0;0
210596 Lagoa Grande do Maranhão;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
210598 Lajeado Novo;1;1;0;1;0;0;2;2;1;2;1;2;1;0;0;0;0;0
210600 Lima Campos;0;4;5;4;4;7;5;7;7;9;2;2;1;2;1;0;0;0
210610 Loreto;1;6;7;11;5;5;13;10;15;2;2;3;5;2;0;0;0;3
210620 Luís Domingues;0;3;1;0;0;1;1;2;1;2;0;0;0;0;0;0;0;0
210630 Magalhães de Almeida;1;5;1;4;5;2;5;5;3;8;4;2;0;0;0;1;0;0
210632 Maracaçumé;0;4;4;5;4;4;4;9;7;3;2;5;0;0;0;3;0;0
210635 Marajá do Sena;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
210637 Maranhãozinho;1;0;1;1;2;0;1;1;2;1;1;1;0;0;0;0;0;0
210640 Mata Roma;2;1;2;0;1;1;1;2;1;2;3;0;0;2;1;1;1;1
210650 Matinha;1;3;2;8;3;2;4;6;5;5;6;1;1;9;1;2;4;5
210660 Matões;3;17;28;22;25;20;28;20;40;38;44;34;30;9;6;1;2;1
210663 Matões do Norte;0;0;1;2;0;0;0;1;1;1;0;0;0;0;0;1;1;0
210667 Milagres do Maranhão;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
210670 Mirador;2;3;5;2;1;2;3;4;3;2;2;2;1;1;3;0;0;1
210675 Miranda do Norte;3;7;16;8;13;9;6;19;7;17;6;5;3;4;0;2;2;2
210680 Mirinzal;0;2;1;4;4;4;2;1;2;6;1;1;2;1;1;1;0;2
210690 Monção;1;5;2;4;3;5;3;2;4;3;1;1;1;0;1;0;0;0
210700 Montes Altos;0;5;5;3;4;2;4;2;5;6;11;11;11;6;3;1;1;0
210710 Morros;1;2;3;4;2;2;1;3;5;5;1;2;1;1;2;1;1;1
210720 Nina Rodrigues;0;3;5;3;1;3;12;7;9;15;7;3;4;3;0;0;0;0
210725 Nova Colinas;3;7;1;0;1;5;5;6;2;8;4;1;4;0;1;0;0;0
210730 Nova Iorque;1;3;3;1;2;1;0;2;0;3;2;2;0;0;0;0;0;0
210735 Nova Olinda do Maranhão;0;0;4;1;2;1;2;5;4;1;3;0;0;1;0;0;0;0
210740 Olho d'Água das Cunhãs;1;0;5;2;3;3;3;6;3;5;0;3;1;0;1;1;2;0
210745 Olinda Nova do Maranhão;0;0;1;2;1;3;0;1;4;1;0;0;1;0;1;0;0;0
210750 Paço do Lumiar;146;705;757;595;403;447;565;790;929;756;473;267;207;131;119;78;65;63
210760 Palmeirândia;0;2;2;2;0;1;2;2;1;1;1;1;0;2;1;0;0;0
210770 Paraibano;0;3;5;10;6;8;7;8;9;8;3;11;5;0;3;3;0;1
210780 Parnarama;4;27;52;39;23;23;28;30;42;56;67;49;36;33;21;15;5;7
