Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
260350 Camocim de São Félix;2;14;36;18;16;11;25;21;20;31;19;26;9;1;6;5;6;10
260360 Camutanga;0;4;5;2;3;4;8;11;8;7;1;1;2;1;2;0;0;0
260370 Canhotinho;0;9;14;17;12;10;18;8;15;16;8;7;6;5;6;4;6;6
260380 Capoeiras;0;5;7;13;10;8;6;6;6;10;7;6;2;4;2;3;1;1
260390 Carnaíba;0;2;6;2;2;3;2;2;6;3;4;2;2;3;3;0;0;1
260392 Carnaubeira da Penha;0;0;2;0;1;3;0;0;3;3;2;0;0;0;0;0;1;0
260400 Carpina;42;189;240;239;189;185;257;346;348;388;245;147;136;111;93;72;50;56
260410 Caruaru;358;1883;2323;1958;1665;1957;2603;3324;3386;2943;2113;1642;1347;1181;965;836;613;861
260415 Casinhas;1;0;3;0;1;2;2;2;3;1;1;1;0;1;1;0;0;1
260420 Catende;1;23;17;20;11;16;27;26;34;20;19;14;17;14;7;5;6;5
260430 Cedro;0;5;8;6;2;0;5;3;13;5;4;0;2;2;1;0;0;2
260440 Chã de Alegria;0;10;12;14;3;7;12;14;15;9;4;5;0;4;0;1;2;2
260450 Chã Grande;0;12;13;15;11;9;15;13;21;15;16;12;5;3;6;2;7;5
260460 Condado;11;58;84;56;46;74;106;106;67;50;36;22;8;6;9;4;2;4
260470 Correntes;1;1;6;5;5;3;1;7;9;7;9;1;3;4;5;1;1;5
260480 Cortês;0;2;3;4;1;0;1;8;3;3;3;3;2;1;1;2;0;0
260490 Cumaru;3;13;12;11;10;14;13;15;17;9;15;9;6;5;8;1;1;1
260500 Cupira;9;34;43;46;28;37;32;35;53;55;36;33;22;18;13;12;16;13
260510 Custódia;8;11;26;24;13;11;10;23;27;27;16;12;9;14;8;4;7;5
260515 Dormentes;10;32;47;48;39;52;63;79;65;74;74;81;84;81;45;32;31;28
260520 Escada;20;134;164;174;126;127;172;237;215;198;127;70;59;43;11;21;9;25
260530 Exu;3;8;19;11;9;5;12;21;24;11;9;11;9;10;5;3;8;11
260540 Feira Nova;3;12;22;15;13;15;13;21;27;24;11;12;2;2;6;3;4;1
260545 Fernando de Noronha;1;9;18;18;18;22;23;19;43;42;33;26;23;23;13;8;0;6
260550 Ferreiros;1;5;11;4;1;1;8;7;4;9;4;1;2;1;1;1;1;2
260560 Flores;0;3;3;3;3;3;5;5;6;3;7;1;3;3;3;3;2;0
260570 Floresta;4;16;19;26;13;18;22;34;45;34;32;29;16;16;11;12;15;6
260580 Frei Miguelinho;0;8;14;8;5;4;7;7;9;13;6;9;1;3;2;4;2;3
260590 Gameleira;1;8;12;10;7;7;8;9;12;11;6;8;2;4;3;3;2;5
260600 Garanhuns;89;469;695;638;484;497;549;721;887;859;651;441;400;343;296;265;185;274
260610 Glória do Goitá;12;58;105;74;61;72;100;129;104;72;41;29;7;6;7;10;9;9
260620 Goiana;95;479;654;566;389;567;814;794;732;592;399;230;139;88;67;44;45;47
260630 Granito;0;1;4;5;0;0;1;0;5;4;2;2;1;2;0;0;0;3
260640 Gravatá;22;92;156;147;129;107;167;180;198;228;176;141;119;102;82;68;60;98
260650 Iati;0;4;3;2;2;6;1;7;3;4;5;5;2;3;2;1;0;0
260660 Ibimirim;2;1;12;6;2;1;8;7;15;10;6;8;4;2;3;2;4;2
260670 Ibirajuba;0;2;5;1;1;0;2;1;3;3;2;2;2;2;0;0;0;1
260680 Igarassu;183;747;909;780;582;740;1011;1133;1173;1050;725;480;332;161;129;89;53;69
260690 Iguaraci;0;2;1;4;1;3;1;4;3;5;3;1;3;7;0;1;0;0
260700 Inajá;1;2;2;1;1;1;2;4;6;3;1;0;1;2;0;0;1;1
260710 Ingazeira;0;2;1;4;0;2;1;1;2;2;4;1;0;1;0;0;0;0
260720 Ipojuca;72;298;387;388;332;399;480;551;665;619;426;302;176;123;71;47;32;29
260730 Ipubi;1;3;9;4;2;6;9;8;6;9;10;6;4;1;2;1;1;4
260740 Itacuruba;1;4;4;0;2;2;5;3;1;3;1;5;2;1;0;0;1;3
260750 Itaíba;2;3;7;2;6;5;4;8;15;6;4;10;4;1;1;2;1;1
260760 Ilha de Itamaracá;6;35;50;26;19;45;56;43;58;27;39;37;14;19;13;20;12;13
